brand,brand_prefix,part_code,part_name,category,group,priority,suggested_sources
BYD,BY,CKP,Датчик положения коленвала,Двигатель,Датчики,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,CMP,Датчик положения распредвала,Двигатель,Датчики,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,CMS,Сальник распредвала,Двигатель,Сальники,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,CSF,Сальник коленвала передний,Двигатель,Сальники,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,CSR,Сальник коленвала задний,Двигатель,Сальники,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,EMB,Опора двигателя задняя,Двигатель,Опоры,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,EMG,Прокладка выпускного коллектора,Двигатель,Прокладки,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,EML,Опора двигателя левая,Двигатель,Опоры,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,EMR,Опора двигателя правая,Двигатель,Опоры,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,HGG,Прокладка ГБЦ,Двигатель,Прокладки,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,IMG,Прокладка впускного коллектора,Двигатель,Прокладки,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,MAF,Датчик массового расхода воздуха,Двигатель,Датчики,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,MAP,Датчик абсолютного давления,Двигатель,Датчики,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,OPM,Масляный насос,Двигатель,Смазка,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,OPS,Датчик давления масла,Двигатель,Датчики,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,PCV,Клапан вентиляции картерных газов,Двигатель,Вентиляция,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,THB,Дроссельная заслонка,Двигатель,Впуск,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,TK,Ремень/цепь ГРМ комплект,Двигатель,ГРМ,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,VCG,Прокладка клапанной крышки,Двигатель,Прокладки,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,EXC,Крышка расширительного бачка,Охлаждение,Охлаждение,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,EXT,Расширительный бачок,Охлаждение,Охлаждение,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,FAN,Вентилятор радиатора,Охлаждение,Охлаждение,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,RAD,Радиатор охлаждения,Охлаждение,Охлаждение,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,TSH,Корпус термостата,Охлаждение,Охлаждение,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,TST,Термостат,Охлаждение,Охлаждение,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,CAB,Сайлентблок переднего рычага,Подвеска,Сайлентблоки,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,RAB,Сайлентблок заднего рычага,Подвеска,Сайлентблоки,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,SBF,Втулка стабилизатора передняя,Подвеска,Стабилизатор,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,SBR,Втулка стабилизатора задняя,Подвеска,Стабилизатор,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,SPR,Пружина задняя,Подвеска,Пружины,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,STM,Опора передней стойки,Подвеска,Передняя подвеска,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,ABK,Комплект ремня навесного оборудования,ТО,Ремни,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,ABR,Ролик ремня навесного оборудования,ТО,Ремни,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,ABT,Натяжитель ремня навесного оборудования,ТО,Ремни,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,FF,Топливный фильтр,ТО,Фильтры,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,ODP,Пробка сливная масляного поддона,ТО,Фильтры и жидкости,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,ODW,Шайба сливной пробки,ТО,Фильтры и жидкости,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,ATF,Фильтр АКПП,Трансмиссия,АКПП,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,ATG,Прокладка поддона АКПП,Трансмиссия,АКПП,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,ATP,Поддон АКПП,Трансмиссия,АКПП,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,CLK,Комплект сцепления,Трансмиссия,Сцепление,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,CMC,Главный цилиндр сцепления,Трансмиссия,Сцепление,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,CRB,Выжимной подшипник,Трансмиссия,Сцепление,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,CVB,Пыльник ШРУС,Трансмиссия,Привод,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,CVJ,ШРУС наружный,Трансмиссия,Привод,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,HUR,Ступица задняя,Трансмиссия,Ступицы,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
BYD,BY,TMM,Подушка КПП,Трансмиссия,Опоры,high,exist.ru; relines.ru (manual_check); xn--80aaonli0a.xn--p1ai (manual_check); autoparts24.eu; shop.chinacar-club.ru (manual_check); emex.ru (partner_api_or_export)
Buick,BU,CKP,Датчик положения коленвала,Двигатель,Датчики,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,CMP,Датчик положения распредвала,Двигатель,Датчики,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,CMS,Сальник распредвала,Двигатель,Сальники,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,EMB,Опора двигателя задняя,Двигатель,Опоры,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,EML,Опора двигателя левая,Двигатель,Опоры,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,EMR,Опора двигателя правая,Двигатель,Опоры,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,OPS,Датчик давления масла,Двигатель,Датчики,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,THB,Дроссельная заслонка,Двигатель,Впуск,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,TSH,Корпус термостата,Охлаждение,Охлаждение,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,CAB,Сайлентблок переднего рычага,Подвеска,Сайлентблоки,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,RAB,Сайлентблок заднего рычага,Подвеска,Сайлентблоки,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,SBF,Втулка стабилизатора передняя,Подвеска,Стабилизатор,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,SBR,Втулка стабилизатора задняя,Подвеска,Стабилизатор,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,STM,Опора передней стойки,Подвеска,Передняя подвеска,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,ODP,Пробка сливная масляного поддона,ТО,Фильтры и жидкости,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,ODW,Шайба сливной пробки,ТО,Фильтры и жидкости,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,HUR,Ступица задняя,Трансмиссия,Ступицы,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Buick,BU,TMM,Подушка КПП,Трансмиссия,Опоры,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Cadillac,CA,CKP,Датчик положения коленвала,Двигатель,Датчики,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Cadillac,CA,CMP,Датчик положения распредвала,Двигатель,Датчики,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Cadillac,CA,CMS,Сальник распредвала,Двигатель,Сальники,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Cadillac,CA,EMB,Опора двигателя задняя,Двигатель,Опоры,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Cadillac,CA,OPS,Датчик давления масла,Двигатель,Датчики,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Cadillac,CA,THB,Дроссельная заслонка,Двигатель,Впуск,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Cadillac,CA,TSH,Корпус термостата,Охлаждение,Охлаждение,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Cadillac,CA,CAB,Сайлентблок переднего рычага,Подвеска,Сайлентблоки,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Cadillac,CA,RAB,Сайлентблок заднего рычага,Подвеска,Сайлентблоки,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Cadillac,CA,SBF,Втулка стабилизатора передняя,Подвеска,Стабилизатор,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Cadillac,CA,SBR,Втулка стабилизатора задняя,Подвеска,Стабилизатор,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
Cadillac,CA,STM,Опора передней стойки,Подвеска,Передняя подвеска,high,autoparts24.eu; exist.ru; gmpartsdepartment.com (manual_check); baxterautoparts.com (manual_check); emex.ru (partner_api_or_export)
